suite;id;name;company;mode;dep;dest;kette;transport;uid_verwendet;importer_role;erwartet_out;erwartet_in;erwartet_sonstiges;quelle
matrix-strecke;Z17;Strecke DE→PL;EPDE;3;DE;PL;DE→DE→PL;supplier;PL;;A4;W5;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z18;Strecke DE→IT (SI-UID);EPDE;3;DE;IT;DE→DE→IT;supplier;SI;;C1;EC;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z19;EXW/FCA DE→IT;EPDE;3;DE;IT;DE→DE→IT;middle;DE;;DH;VD;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z20;Strecke DE→CZ;EPDE;3;DE;CZ;DE→DE→CZ;supplier;CZ;;AE;UR;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z21;Strecke DE→SI;EPDE;3;DE;SI;DE→DE→SI;supplier;SI;;CB;EC;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z22;Strecke SE→SI;EPDE;3;SE;SI;SE→DE→SI;supplier;SI;;CB;EC;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z23;Strecke DE→BE;EPDE;3;DE;BE;DE→DE→BE;supplier;BE;;BS;BP;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z24;Strecke FR→NL;EPDE;3;FR;NL;FR→DE→NL;supplier;NL;;NC;NP;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z25;Strecke DE→LV;EPDE;3;DE;LV;DE→DE→LV;supplier;LV;;LS;LP;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z26;Strecke PL→EE;EPDE;3;PL;EE;PL→DE→EE;supplier;EE;;ES;EP;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z27;Dreieck SI→HU;EPDE;3;SI;HU;SI→DE→HU;supplier;DE;;DH;VH;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z28;Dreieck IT→FR;EPDE;3;IT;FR;IT→DE→FR;supplier;DE;;DH;VH;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z29;Dreieck PL→ES;EPDE;3;PL;ES;PL→DE→ES;supplier;DE;;DH;VH;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z30;Dreieck FR→AT;EPDE;3;FR;AT;FR→DE→AT;supplier;DE;;DH;VH;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z31;Dreieck CZ→RO;EPDE;3;CZ;RO;CZ→DE→RO;supplier;DE;;DH;VH;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z32;EXW DE→SI;EPDE;3;DE;SI;DE→DE→SI;middle;DE;;DH;VD;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z33;EXW SI→SI;EPDE;3;SI;SI;SI→DE→SI;middle;SI;;CB;SI;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
matrix-strecke;Z34;EXW PL→IT;EPDE;3;PL;IT;PL→DE→IT;middle;PL;;T1;B7;;Matrix_erweitert_V1_2.xlsx / scripts/test-matrix.mjs
